iter,fitness,time,XPL,XPT,DIV
0,1.92e+01,0.003,100.0,0.0,45.05
1,1.92e+01,0.004,100.0,0.0,47.863
2,1.92e+01,0.0,91.4,8.6,43.747
3,1.92e+01,0.001,90.42,9.58,43.28
4,1.92e+01,0.001,88.79,11.21,42.498
5,1.92e+01,0.0,87.63,12.37,41.944
6,1.76e+01,0.001,87.18,12.82,41.729
7,1.76e+01,0.001,88.14,11.86,42.187
8,1.76e+01,0.0,86.32,13.68,41.315
9,1.76e+01,0.001,85.96,14.04,41.144
10,1.76e+01,0.001,84.77,15.23,40.574
11,1.02e+01,0.001,84.4,15.6,40.395
12,0.00e+00,0.002,83.26,16.74,39.851
13,0.00e+00,0.0,83.54,16.46,39.983
14,0.00e+00,0.001,84.56,15.44,40.471
15,0.00e+00,0.001,84.53,15.47,40.458
16,0.00e+00,0.0,85.06,14.94,40.712
17,0.00e+00,0.001,85.27,14.73,40.813
18,0.00e+00,0.001,85.23,14.77,40.792
19,0.00e+00,0.0,85.3,14.7,40.826
