MH, FITNESS
WOA, 4.86e-17
WOA, 1.35e-15
WOA, 2.49e-20
WOA, 8.68e-18
WOA, 9.94e-15
WOA, 6.26e-14
WOA, 1.58e-19
WOA, 1.73e-12
WOA, 1.44e-12
WOA, 1e-20
WOA, 1.58e-19
WOA, 3.3e-14
WOA, 3.13e-17
WOA, 3.15e-16
WOA, 3.99e-16
WOA, 3.47e-16
WOA, 8.47e-16
WOA, 6.91e-19
SRO, 715.0
SRO, 791.0
SRO, 2420.0
SRO, 490.0
SRO, 415.0
SRO, 1600.0
SRO, 1560.0
SRO, 115.0
SRO, 284.0
SRO, 2860.0
SRO, 2010.0
SRO, 6200.0
PSO, 2.98e-11
PSO, 4.78e-13
PSO, 1.72e-12
PSO, 1.07e-12
PSO, 2.38e-10
PSO, 2.96e-11
PSO, 1.54e-11
PSO, 1.76e-12
PSO, 5.55e-12
PSO, 2.12e-12
PSO, 2.92e-13
PSO, 5.7e-12
PSO, 1.46e-13
PSO, 2.03e-13
PSO, 2.19e-11
PSO, 2.8e-13
PSO, 8.05e-11
PSO, 1.18e-12
