MH, FITNESS
WOA, 3.1e-10
WOA, 3.77e-11
WOA, 6.49e-12
WOA, 2.24e-09
WOA, 3.01e-10
WOA, 2.02e-13
WOA, 2.73e-11
WOA, 1.64e-12
WOA, 3.91e-12
WOA, 3.47e-12
WOA, 1.95e-11
WOA, 1.25e-10
WOA, 1.99e-11
WOA, 9.02e-13
WOA, 4.87e-09
WOA, 1.76e-11
WOA, 3.96e-11
WOA, 6.22e-12
SRO, 3.4
SRO, 7.45
SRO, 5.95
SRO, 5.79
SRO, 11.1
SRO, 7.85
SRO, 6.37
SRO, 1.6
SRO, 2.53
SRO, 4.27
SRO, 3.3
SRO, 4.79
PSO, 1.26e-07
PSO, 5.92e-07
PSO, 6.71e-06
PSO, 3.68e-07
PSO, 5.96e-06
PSO, 8.85e-08
PSO, 6.31e-08
PSO, 9.1e-08
PSO, 1.52e-07
PSO, 5.38e-05
PSO, 3.32e-08
PSO, 4.64e-07
PSO, 1.15e-07
PSO, 4.35e-06
PSO, 1.25e-07
PSO, 5.82e-07
PSO, 1.78e-07
PSO, 3.84e-07
