MH, FITNESS
WOA, 1.39e-08
WOA, 2.9e-08
WOA, 7.92e-08
WOA, 9.3e-10
WOA, 6.34e-06
WOA, 3.65e-07
WOA, 7.85e-06
WOA, 6.12e-06
WOA, 1.29e-05
WOA, 3.29e-06
WOA, 7.8e-09
WOA, 1.58e-06
WOA, 2.91e-06
WOA, 6.17e-09
WOA, 2.61e-09
SRO, 14.0
SRO, 13.1
SRO, 20.4
SRO, 20.1
SRO, 17.4
SRO, 18.6
SRO, 19.5
SRO, 20.3
SRO, 20.1
SRO, 20.5
SRO, 20.0
SRO, 20.0
SRO, 18.9
PSO, 1.49e-05
PSO, 4.57e-05
PSO, 8.76e-07
PSO, 6.08e-06
PSO, 1.58
PSO, 2.65
PSO, 2.73
PSO, 1.91
PSO, 2.41
PSO, 2.43
PSO, 2.12
PSO, 0.893
PSO, 2.26
PSO, 2.36
PSO, 2.54
