MH, FITNESS
WOA, 20.8
WOA, 0.755
WOA, 4.12
WOA, 0.00102
WOA, 8.94
WOA, 8.91
WOA, 8.92
WOA, 8.93
WOA, 8.94
WOA, 8.93
WOA, 8.94
WOA, 8.95
WOA, 8.93
WOA, 8.73
WOA, 8.71
SRO, 12300.0
SRO, 9950.0
SRO, 4280000.0
SRO, 8820000.0
SRO, 5070000.0
SRO, 3650000.0
SRO, 16500000.0
SRO, 9880000.0
SRO, 1850000.0
SRO, 7630000.0
SRO, 15900000.0
SRO, 8290000.0
SRO, 27200000.0
PSO, 0.196
PSO, 9.32
PSO, 26.3
PSO, 0.465
PSO, 9.46
PSO, 7.53
PSO, 88.4
PSO, 7.89
PSO, 68.8
PSO, 406.0
PSO, 21.2
PSO, 25.9
PSO, 8.26
PSO, 96.5
PSO, 9.62
