MH, FITNESS
WOA, 8.19
WOA, 0.00414
WOA, 0.195
WOA, 8.6e-06
WOA, 1.34e-05
WOA, 3.46
WOA, 1.84e-06
WOA, 0.786
WOA, 0.00348
WOA, 0.00687
WOA, 0.0584
WOA, 1.17e-08
WOA, 0.0429
WOA, 5.48e-05
WOA, 0.493
WOA, 0.0476
WOA, 0.139
WOA, 0.959
SRO, 794.0
SRO, 564.0
SRO, 38.6
SRO, 369.0
SRO, 1470.0
SRO, 1310.0
SRO, 374.0
SRO, 715.0
SRO, 494.0
SRO, 387.0
SRO, 451.0
SRO, 70.7
PSO, 6.14e-07
PSO, 8.13e-07
PSO, 7.96e-10
PSO, 1.77e-08
PSO, 2.1e-06
PSO, 7.84e-07
PSO, 3.02e-07
PSO, 6.72e-05
PSO, 8.19e-10
PSO, 2.54e-05
PSO, 2.98e-07
PSO, 4.51e-07
PSO, 1.23e-10
PSO, 2.46e-11
PSO, 2.28e-09
PSO, 1.42e-07
PSO, 9.34e-12
PSO, 1.17e-06
