MH, FITNESS
WOA, -1020.0
WOA, -837.0
WOA, -1210.0
WOA, -920.0
WOA, -5710.0
WOA, -5950.0
WOA, -5710.0
WOA, -8330.0
WOA, -5460.0
WOA, -4980.0
WOA, -6010.0
WOA, -5360.0
WOA, -7390.0
WOA, -3860.0
WOA, -5060.0
SRO, -756.0
SRO, -592.0
SRO, -1530.0
SRO, -1970.0
SRO, -2460.0
SRO, -2000.0
SRO, -1260.0
SRO, -2240.0
SRO, -1580.0
SRO, -2160.0
SRO, -2310.0
SRO, -1260.0
SRO, -1890.0
PSO, -1140.0
PSO, -823.0
PSO, -1140.0
PSO, -842.0
PSO, -5180.0
PSO, -4560.0
PSO, -3660.0
PSO, -4900.0
PSO, -4420.0
PSO, -4840.0
PSO, -4040.0
PSO, -4680.0
PSO, -4120.0
PSO, -4330.0
PSO, -4060.0
