MH, FITNESS
WOA, 0.00102
WOA, 0.0115
WOA, 0.00664
WOA, 4.71e-05
WOA, 0.00357
WOA, 0.00623
WOA, 0.00813
WOA, 0.0126
WOA, 0.00222
WOA, 0.0049
WOA, 0.0914
WOA, 0.144
WOA, 0.0268
WOA, 0.0244
WOA, 0.00468
SRO, 0.154
SRO, 0.102
SRO, 2.01
SRO, 0.164
SRO, 1.68
SRO, 1.96
SRO, 0.903
SRO, 4.62
SRO, 0.837
SRO, 1.11
SRO, 2.61
SRO, 1.38
SRO, 5.95
PSO, 0.00334
PSO, 0.0112
PSO, 0.00491
PSO, 0.00362
PSO, 0.0211
PSO, 0.0841
PSO, 0.0284
PSO, 0.0206
PSO, 0.0206
PSO, 0.0625
PSO, 0.057
PSO, 0.0478
PSO, 0.0332
PSO, 0.0288
PSO, 0.0354
